english,kana,japanese,pos
Cabinet Secretariat,キャビネット セクレタリエット,内閣官房,内閣
Cabinet Office,キャビネット オフィス,内閣府,内閣
Digital Agency,デジタル エージェンシー,デジタル庁,庁
Reconstruction Agency,リコンストラクション エージェンシー,復興庁,庁
Ministry of Internal Affairs and Communications (MIC),ミニストリー オブ インターナル アフェアーズ アンド コミュニケーションズ,総務省,省
Ministry of Justice (MOJ),ミニストリー オブ ジャスティス,法務省,省
Ministry of Foreign Affairs (MOFA),ミニストリー オブ フォーリン アフェアーズ,外務省,省
Ministry of Finance (MOF),ミニストリー オブ ファイナンス,財務省,省
"Ministry of Education, Culture, Sports, Science and Technology (MEXT)",ミニストリー オブ エデュケーション カルチャー スポーツ サイエンス アンド テクノロジー,文部科学省,省
"Ministry of Health, Labour and Welfare (MHLW)",ミニストリー オブ ヘルス レイバー アンド ウェルフェア,厚生労働省,省
"Ministry of Agriculture, Forestry and Fisheries (MAFF)",ミニストリー オブ アグリカルチャー フォレストリー アンド フィッシャリーズ,農林水産省,省
"Ministry of Economy, Trade and Industry (METI)",ミニストリー オブ エコノミー トレード アンド インダストリー,経済産業省,省
"Ministry of Land, Infrastructure, Transport and Tourism (MLIT)",ミニストリー オブ ランド インフラストラクチャー トランスポート アンド ツーリズム,国土交通省,省
Ministry of the Environment (MOE),ミニストリー オブ ジ エンバイロメント,環境省,省
Ministry of Defense (MOD),ミニストリー オブ ディフェンス,防衛省,省
National Police Agency (NPA),ナショナル ポリス エージェンシー,警察庁,庁
Fire and Disaster Management Agency (FDMA),ファイア アンド ディザスター マネジメント エージェンシー,消防庁,庁
Immigration Services Agency (ISA),イミグレーション サービシズ エージェンシー,出入国在留管理庁,庁
Agency for Cultural Affairs,エージェンシー フォー カルチュラル アフェアーズ,文化庁,庁
Japan Sports Agency,ジャパン スポーツ エージェンシー,スポーツ庁,庁
Japan Tourism Agency (JTA),ジャパン ツーリズム エージェンシー,観光庁,庁
Japan Meteorological Agency (JMA),ジャパン メテオロロジカル エージェンシー,気象庁,庁
Japan Coast Guard (JCG),ジャパン コースト ガード,海上保安庁,庁
Japan Patent Office (JPO),ジャパン パテント オフィス,特許庁,庁
Small and Medium Enterprise Agency (SMEA),スモール アンド ミディアム エンタープライズ エージェンシー,中小企業庁,庁
Agency for Natural Resources and Energy (ANRE),エージェンシー フォー ナチュラル リソーシズ アンド エナジー,資源エネルギー庁,庁
Children and Families Agency (CFA),チルドレン アンド ファミリーズ エージェンシー,こども家庭庁,庁
Financial Services Agency (FSA),ファイナンシャル サービシズ エージェンシー,金融庁,庁
Consumer Affairs Agency (CAA),コンシューマー アフェアーズ エージェンシー,消費者庁,庁
Japan Fair Trade Commission (JFTC),ジャパン フェア トレード コミッション,公正取引委員会,委員会
Nuclear Regulation Authority (NRA),ニュークリア レギュレーション オーソリティ,原子力規制委員会,委員会
