english,kana,japanese,pos
run out of ~,ラン アウト オブ,不足する、なくなる、足りなくなる,句動詞
date back to ~,デイト バック トゥ,〜にさかのぼる、〜の時代から続く,句動詞
trace,トレイス,（起源・歴史などを）たどる、さかのぼって調べる,動詞
wild,ワイルド,野生の、荒れた,形容詞
commonly,コモンリー,一般に、普通に,副詞
ancestor,アンセスター,祖先、先祖,名詞
domestic,ドメスティック,家庭の、国内の、（動物が）飼いならされた,形容詞
temporary,テンポラリー,一時的な、仮の,形容詞
a period of time,ア ピリオド オブ タイム,一定の期間,名詞句
permanent,パーマネント,永続的な、永久の,形容詞
disturb,ディスターブ,乱す、不安にさせる,動詞
even,イーブン,〜でさえ／平らな、均等な,副詞・形容詞
be responsible for ~,ビー レスポンシブル フォー,〜に対して責任がある、〜の原因である,形容詞句
fault,フォールト,過失、欠点、責任,名詞
run a restaurant,ラン ア レストラン,レストランを経営する,動詞句
shipping,シッピング,輸送、出荷、海運,名詞
blame ~ for ...,ブレイム フォー,〜のことで…を非難する、…の責任を〜のせいにする,動詞
shortage,ショーテージ,不足、欠乏,名詞
ascribe ~ to ...,アスクライブ トゥ,〜を…のせいにする、〜の原因を…とみなす,動詞
